CIRCUITID,NAME,LOCATION,COUNTRY,LAT,LNG,ALT,ALTITUDE_CATEGORY,ESTIMATED_LENGTH_KM,AVG_RACE_LAPS,ESTIMATED_RACE_DISTANCE_KM
1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.84970,144.968000,10,LOW,5.294654963175764,57.666666666666664,305.32510287646903
2,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738000,18,LOW,5.543337741326389,56.0,310.42691351427777
3,Bahrain International Circuit,Sakhir,Bahrain,26.03250,50.510600,7,LOW,5.26760097198021,59.416666666666664,312.9832910851575
4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57000,2.261110,109,LOW,4.659043291274961,66.0,307.49685722414745
5,Istanbul Park,Istanbul,Turkey,40.95170,29.405000,130,LOW,5.337986408138889,58.0,309.6032116720555
6,Circuit de Monaco,Monte-Carlo,Monaco,43.73470,7.420560,7,LOW,3.3373210877286676,76.6,255.63879532001593
7,Circuit Gilles Villeneuve,Montreal,Canada,45.50000,-73.522800,13,LOW,4.360989445132646,69.77777777777777,304.30015239370016
8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.86420,3.163610,228,LOW,,,
9,Silverstone Circuit,Silverstone,UK,52.07860,-1.016940,153,LOW,5.89098710223075,51.916666666666664,305.8404137241464
10,Hockenheimring,Hockenheim,Germany,49.32780,8.565830,103,LOW,4.57399020697832,66.25,303.0268512123137
11,Hungaroring,Budapest,Hungary,47.57890,19.248600,264,LOW,4.38098880577622,69.9090909090909,306.2709446947194
12,Valencia Street Circuit,Valencia,Spain,39.45890,-0.331667,4,LOW,,,
13,Circuit de Spa-Francorchamps,Spa,Belgium,50.43720,5.971390,401,LOW,7.003983780254011,40.0,280.1593512101604
14,Autodromo Nazionale di Monza,Monza,Italy,45.61560,9.281110,162,LOW,5.79272802906473,52.81818181818182,305.9613622624189
15,Marina Bay Street Circuit,Marina Bay,Singapore,1.29140,103.864000,18,LOW,5.037167947607937,60.55555555555556,305.0285034940362
16,Fuji Speedway,Oyama,Japan,35.37170,138.927000,583,LOW,,,
17,Shanghai International Circuit,Shanghai,China,31.33890,121.220000,5,LOW,5.450986610209312,55.714285714285715,303.69782542594737
18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.70360,-46.699700,785,LOW,4.308989648810579,70.8,305.07646713578896
19,Indianapolis Motor Speedway,Indianapolis,USA,39.79500,-86.234700,223,LOW,,,
20,Nürburgring,Nürburg,Germany,50.33560,6.947500,578,LOW,5.147986154208334,60.0,308.8791692525
21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.34390,11.716700,37,LOW,4.908988848219373,63.0,309.26629743782047
22,Suzuka Circuit,Suzuka,Japan,34.84310,136.541000,45,LOW,5.806986973533084,49.111111111111114,285.18758247795813
80,Las Vegas Strip Street Circuit,Las Vegas,United States,36.11470,-115.173000,642,LOW,6.200987506340278,50.0,310.04937531701387
24,Yas Marina Circuit,Abu Dhabi,UAE,24.46720,54.603100,3,LOW,5.456307815582314,56.09090909090909,306.04926565584435
