CONSTRUCTORID,CONSTRUCTOR_NAME,CONSTRUCTOR_NATIONALITY,RACES_ENTERED,TOTAL_POINTS,WINS,PODIUMS,AVG_FINISH_POSITION,YEAR
1,McLaren,British,24,609.0,6,21,4.71,2024
6,Ferrari,Italian,24,595.0,5,22,5.15,2024
9,Red Bull,Austrian,24,537.0,9,18,6.63,2024
131,Mercedes,German,24,433.0,4,9,6.85,2024
117,Aston Martin,British,24,94.0,0,0,11.77,2024
214,Alpine F1 Team,French,24,63.0,0,2,13.31,2024
210,Haas F1 Team,American,24,51.0,0,0,12.40,2024
215,RB F1 Team,Italian,24,40.0,0,0,13.29,2024
3,Williams,British,24,17.0,0,0,15.13,2024
15,Sauber,Swiss,24,4.0,0,0,15.67,2024
9,Red Bull,Austrian,22,790.0,21,30,3.57,2023
131,Mercedes,German,22,374.0,0,8,7.14,2023
6,Ferrari,Italian,22,363.0,1,9,7.86,2023
1,McLaren,British,22,266.0,0,9,9.45,2023
117,Aston Martin,British,22,266.0,0,8,8.91,2023
214,Alpine F1 Team,French,22,110.0,0,2,11.27,2023
3,Williams,British,22,26.0,0,0,14.11,2023
213,AlphaTauri,Italian,22,22.0,0,0,13.61,2023
51,Alfa Romeo,Swiss,22,16.0,0,0,14.00,2023
210,Haas F1 Team,American,22,9.0,0,0,15.07,2023
9,Red Bull,Austrian,22,724.0,17,28,4.45,2022
6,Ferrari,Italian,22,519.0,4,20,6.68,2022
131,Mercedes,German,22,495.0,1,17,5.52,2022
214,Alpine F1 Team,French,22,170.0,0,0,9.86,2022
1,McLaren,British,22,150.0,0,1,10.64,2022
117,Aston Martin,British,22,55.0,0,0,11.89,2022
51,Alfa Romeo,Swiss,22,53.0,0,0,13.20,2022
213,AlphaTauri,Italian,22,35.0,0,0,13.52,2022
210,Haas F1 Team,American,22,33.0,0,0,14.27,2022
3,Williams,British,22,8.0,0,0,14.95,2022
131,Mercedes,German,22,604.5,9,28,5.41,2021
9,Red Bull,Austrian,22,578.5,11,23,5.84,2021
6,Ferrari,Italian,22,322.5,0,5,7.11,2021
1,McLaren,British,22,274.0,1,5,7.80,2021
214,Alpine F1 Team,French,22,155.0,1,2,10.25,2021
213,AlphaTauri,Italian,22,142.0,0,1,11.27,2021
117,Aston Martin,British,22,77.0,0,1,12.00,2021
3,Williams,British,22,23.0,0,1,14.73,2021
51,Alfa Romeo,Swiss,22,13.0,0,0,13.20,2021
210,Haas F1 Team,American,22,0.0,0,0,17.39,2021
131,Mercedes,German,17,573.0,13,25,3.74,2020
9,Red Bull,Austrian,17,319.0,2,13,7.71,2020
211,Racing Point,British,17,210.0,1,4,9.21,2020
1,McLaren,British,17,202.0,0,2,8.62,2020
4,Renault,French,17,181.0,0,3,8.94,2020
6,Ferrari,Italian,17,131.0,0,3,10.71,2020
213,AlphaTauri,Italian,17,107.0,1,1,10.71,2020
51,Alfa Romeo,Swiss,17,8.0,0,0,13.85,2020
210,Haas F1 Team,American,17,3.0,0,0,15.79,2020
