CONSTRUCTORID,CONSTRUCTOR_NAME,YEAR,RACES,SEASON_POINTS,WINS,PODIUMS,DNFS,AVG_GRID,AVG_FINISH,AVG_POSITIONS_GAINED
51,Alfa Romeo,2019,21,57.0,0,0,30,12.17,12.74,-0.57
51,Alfa Romeo,2020,17,8.0,0,0,22,16.56,13.85,2.71
51,Alfa Romeo,2021,22,13.0,0,0,34,13.25,13.20,0.05
51,Alfa Romeo,2022,22,53.0,0,0,23,11.91,13.20,-1.30
51,Alfa Romeo,2023,22,16.0,0,0,20,13.89,14.00,-0.11
213,AlphaTauri,2020,17,107.0,1,1,16,11.24,10.71,0.53
213,AlphaTauri,2021,22,142.0,0,1,24,8.93,11.27,-2.34
213,AlphaTauri,2022,22,35.0,0,0,23,11.50,13.52,-2.02
213,AlphaTauri,2023,22,22.0,0,0,20,13.98,13.61,0.36
214,Alpine F1 Team,2021,22,155.0,1,2,24,10.59,10.25,0.34
214,Alpine F1 Team,2022,22,170.0,0,0,15,10.07,9.86,0.20
214,Alpine F1 Team,2023,22,110.0,0,2,12,10.77,11.27,-0.50
214,Alpine F1 Team,2024,24,63.0,0,2,30,12.52,13.31,-0.79
117,Aston Martin,2021,22,77.0,0,1,28,12.14,12.00,0.14
117,Aston Martin,2022,22,55.0,0,0,16,13.61,11.89,1.73
117,Aston Martin,2023,22,266.0,0,8,8,8.07,8.91,-0.84
117,Aston Martin,2024,24,94.0,0,0,22,11.04,11.77,-0.73
207,Caterham,2014,17,0.0,0,0,32,19.44,17.82,1.62
6,Ferrari,2014,19,216.0,0,2,9,7.95,8.47,-0.53
6,Ferrari,2015,19,428.0,3,16,8,6.39,6.03,0.37
6,Ferrari,2016,21,398.0,0,11,8,5.69,7.40,-1.71
6,Ferrari,2017,20,522.0,5,20,6,3.45,5.48,-2.03
6,Ferrari,2018,21,571.0,6,24,5,3.31,4.93,-1.62
6,Ferrari,2019,21,504.0,3,19,9,4.26,6.00,-1.74
6,Ferrari,2020,17,131.0,0,3,15,10.26,10.71,-0.44
6,Ferrari,2021,22,322.5,0,5,9,7.18,7.11,0.07
6,Ferrari,2022,22,519.0,4,20,9,4.32,6.68,-2.36
6,Ferrari,2023,22,363.0,1,9,8,5.32,7.86,-2.55
6,Ferrari,2024,24,595.0,5,22,5,5.25,5.15,0.10
10,Force India,2014,19,155.0,0,1,14,11.50,9.97,1.53
10,Force India,2015,19,136.0,0,1,24,10.08,10.53,-0.45
10,Force India,2016,21,173.0,0,2,16,9.07,9.95,-0.88
10,Force India,2017,20,187.0,0,0,19,9.18,8.35,0.83
10,Force India,2018,21,111.0,0,1,23,10.69,11.19,-0.50
210,Haas F1 Team,2016,21,29.0,0,0,34,14.00,14.45,-0.45
210,Haas F1 Team,2017,20,47.0,0,0,30,13.70,12.55,1.15
210,Haas F1 Team,2018,21,93.0,0,0,28,10.21,11.98,-1.76
210,Haas F1 Team,2019,21,28.0,0,0,31,11.26,14.40,-3.14
210,Haas F1 Team,2020,17,3.0,0,0,24,15.21,15.79,-0.59
210,Haas F1 Team,2021,22,0.0,0,0,39,18.02,17.39,0.64
210,Haas F1 Team,2022,22,33.0,0,0,26,13.05,14.27,-1.23
210,Haas F1 Team,2023,22,9.0,0,0,27,11.11,15.07,-3.95
210,Haas F1 Team,2024,24,51.0,0,0,21,12.73,12.40,0.33
208,Lotus F1,2014,19,10.0,0,0,32,16.32,15.16,1.16
208,Lotus F1,2015,19,78.0,0,1,23,11.05,12.53,-1.47
209,Manor Marussia,2015,18,0.0,0,0,35,17.44,16.11,1.33
