DRIVERID,FULL_NAME,DRIVER_NATIONALITY,RACES_ENTERED,TOTAL_POINTS,WINS,PODIUMS,DNFS,AVG_GRID_POSITION,AVG_FINISH_POSITION
1,Lewis Hamilton,British,227,3718.5,83,148,16,4.15,3.99
830,Max Verstappen,Dutch,209,2912.5,63,112,39,4.96,5.65
822,Valtteri Bottas,Finnish,228,1784.0,10,67,71,7.28,8.51
20,Sebastian Vettel,German,180,1647.0,14,60,48,7.17,7.56
815,Sergio Pérez,Mexican,226,1456.0,6,36,85,8.77,8.56
844,Charles Leclerc,Monegasque,149,1363.0,8,43,41,6.44,7.56
817,Daniel Ricciardo,Australian,207,1290.0,8,32,79,8.77,9.23
832,Carlos Sainz,Spanish,208,1203.5,4,27,86,8.58,9.27
3,Nico Rosberg,German,59,1024.0,20,46,6,1.85,3.76
846,Lando Norris,British,128,950.0,4,26,34,7.26,7.85
8,Kimi Räikkönen,Finnish,158,904.0,1,26,66,8.56,9.42
4,Fernando Alonso,Spanish,187,723.0,0,11,92,10.48,10.75
847,George Russell,British,128,664.0,3,15,59,9.91,10.53
839,Esteban Ocon,French,156,440.0,1,4,81,11.21,11.22
807,Nico Hülkenberg,German,172,427.0,0,0,91,10.40,11.86
842,Pierre Gasly,French,154,426.0,1,5,72,10.70,11.26
13,Felipe Massa,Brazilian,78,351.0,0,5,36,8.78,10.06
857,Oscar Piastri,Australian,46,347.0,2,10,8,7.43,7.89
840,Lance Stroll,Canadian,168,286.0,0,3,95,13.15,12.37
848,Alexander Albon,Thai,105,238.0,0,2,47,11.42,11.91
826,Daniil Kvyat,Russian,112,202.0,0,3,76,11.92,12.22
825,Kevin Magnussen,Danish,186,196.0,0,1,121,12.93,13.57
18,Jenson Button,British,60,163.0,0,1,37,12.62,12.13
154,Romain Grosjean,French,136,163.0,0,1,98,12.54,13.51
852,Yuki Tsunoda,Japanese,90,87.0,0,0,52,12.13,13.52
831,Felipe Nasr,Brazilian,40,29.0,0,0,31,15.90,14.15
813,Pastor Maldonado,Venezuelan,38,29.0,0,0,27,14.76,14.74
838,Stoffel Vandoorne,Belgian,42,26.0,0,0,34,15.19,13.19
818,Jean-Éric Vergne,French,19,22.0,0,0,9,11.74,12.95
841,Antonio Giovinazzi,Italian,62,21.0,0,0,46,14.37,13.85
828,Marcus Ericsson,Swedish,97,18.0,0,0,85,16.88,14.96
855,Guanyu Zhou,Chinese,68,16.0,0,0,40,15.01,14.65
854,Mick Schumacher,German,44,12.0,0,0,32,15.34,15.66
849,Nicholas Latifi,Canadian,61,9.0,0,0,43,16.67,15.85
835,Jolyon Palmer,British,37,9.0,0,0,31,16.32,15.27
860,Oliver Bearman,British,3,7.0,0,0,0,12.00,9.67
836,Pascal Wehrlein,German,39,6.0,0,0,37,17.38,16.13
859,Liam Lawson,New Zealander,11,6.0,0,0,4,13.45,12.91
861,Franco Colapinto,Argentinian ,9,5.0,0,0,5,13.78,13.56
843,Brendon Hartley,New Zealander,25,4.0,0,0,23,15.28,15.04
824,Jules Bianchi,French,15,2.0,0,0,14,17.80,16.47
856,Nyck de Vries,Dutch,11,2.0,0,0,7,14.00,15.27
9,Robert Kubica,Polish,23,1.0,0,0,20,16.00,16.78
845,Sergey Sirotkin,Russian,21,1.0,0,0,19,16.29,15.52
858,Logan Sargeant,American,36,1.0,0,0,24,16.39,16.33
821,Esteban Gutiérrez,Mexican,40,0.0,0,0,37,14.78,15.50
837,Rio Haryanto,Indonesian,12,0.0,0,0,12,19.83,18.67
814,Paul di Resta,British,1,0.0,0,0,1,19.00,18.00
853,Nikita Mazepin,Russian,22,0.0,0,0,20,18.50,17.86
851,Jack Aitken,British,1,0.0,0,0,0,17.00,16.00
862,Jack Doohan,Australian,1,0.0,0,0,1,17.00,15.00
155,Kamui Kobayashi,Japanese,16,0.0,0,0,15,18.75,17.50
820,Max Chilton,British,16,0.0,0,0,15,19.50,17.13
850,Pietro Fittipaldi,Brazilian,2,0.0,0,0,1,18.50,18.00
827,André Lotterer,German,1,0.0,0,0,1,21.00,22.00
833,Roberto Merhi,Spanish,13,0.0,0,0,13,18.23,15.69
16,Adrian Sutil,German,19,0.0,0,0,17,14.68,16.42
829,Will Stevens,British,19,0.0,0,0,19,16.79,16.63
834,Alexander Rossi,American,5,0.0,0,0,4,17.80,15.40
