DRIVERID,FULL_NAME,YEAR,RACES,SEASON_POINTS,WINS,PODIUMS,DNFS,AVG_GRID,AVG_FINISH,AVG_POSITIONS_GAINED
16,Adrian Sutil,2014,19,0.0,0,0,17,14.68,16.42,-1.74
848,Alexander Albon,2019,21,92.0,0,0,7,9.24,9.33,-0.10
848,Alexander Albon,2020,17,105.0,0,2,4,7.35,8.29,-0.94
848,Alexander Albon,2022,21,4.0,0,0,12,15.62,13.90,1.71
848,Alexander Albon,2023,22,25.0,0,0,7,11.95,12.41,-0.45
848,Alexander Albon,2024,24,12.0,0,0,17,12.04,14.54,-2.50
834,Alexander Rossi,2015,5,0.0,0,0,4,17.80,15.40,2.40
827,André Lotterer,2014,1,0.0,0,0,1,21.00,22.00,-1.00
841,Antonio Giovinazzi,2017,2,0.0,0,0,2,17.00,15.50,1.50
841,Antonio Giovinazzi,2019,21,14.0,0,0,15,13.81,13.86,-0.05
841,Antonio Giovinazzi,2020,17,4.0,0,0,11,16.76,14.65,2.12
841,Antonio Giovinazzi,2021,22,3.0,0,0,18,12.82,13.09,-0.27
843,Brendon Hartley,2017,4,0.0,0,0,4,18.50,15.75,2.75
843,Brendon Hartley,2018,21,4.0,0,0,19,14.67,14.90,-0.24
832,Carlos Sainz,2015,19,18.0,0,0,14,11.32,12.63,-1.32
832,Carlos Sainz,2016,21,46.0,0,0,13,12.05,12.05,0.00
832,Carlos Sainz,2017,20,54.0,0,0,14,11.65,12.25,-0.60
832,Carlos Sainz,2018,21,53.0,0,0,12,10.00,10.29,-0.29
832,Carlos Sainz,2019,21,96.0,0,1,11,10.29,10.05,0.24
832,Carlos Sainz,2020,17,105.0,0,1,7,8.35,8.94,-0.59
832,Carlos Sainz,2021,22,163.5,0,4,3,7.91,6.50,1.41
832,Carlos Sainz,2022,22,228.0,1,9,6,4.73,7.86,-3.14
832,Carlos Sainz,2023,22,178.0,1,3,3,5.77,7.50,-1.73
832,Carlos Sainz,2024,23,262.0,2,9,3,4.83,5.70,-0.87
844,Charles Leclerc,2018,21,39.0,0,0,14,12.43,12.38,0.05
844,Charles Leclerc,2019,21,264.0,2,10,4,4.29,5.57,-1.29
844,Charles Leclerc,2020,17,98.0,0,2,7,8.47,9.88,-1.41
844,Charles Leclerc,2021,22,159.0,0,1,6,6.45,7.73,-1.27
844,Charles Leclerc,2022,22,291.0,3,11,3,3.91,5.50,-1.59
844,Charles Leclerc,2023,22,185.0,0,6,5,4.86,8.23,-3.36
844,Charles Leclerc,2024,24,327.0,3,13,2,5.42,4.54,0.88
817,Daniel Ricciardo,2014,19,238.0,3,8,3,6.26,6.11,0.16
817,Daniel Ricciardo,2015,19,92.0,0,2,11,8.11,9.16,-1.05
817,Daniel Ricciardo,2016,21,256.0,1,8,1,3.90,4.38,-0.48
817,Daniel Ricciardo,2017,20,200.0,1,9,6,7.00,8.00,-1.00
817,Daniel Ricciardo,2018,21,170.0,2,2,8,8.19,9.19,-1.00
817,Daniel Ricciardo,2019,21,54.0,0,0,13,10.62,12.14,-1.52
