YEAR,NAME,DATE,DRIVER_NAME,DRIVER_NATIONALITY,CONSTRUCTOR_NAME,CONSTRUCTOR_NATIONALITY,POINTS,LAPS,FASTESTLAPTIME,STARTING_POSITION,POSITIONS_GAINED
2024,Abu Dhabi Grand Prix,2024-12-08,Lando Norris,British,McLaren,British,25.0,58,1:27.438,1,0
2024,Qatar Grand Prix,2024-12-01,Max Verstappen,Dutch,Red Bull,Austrian,25.0,57,1:22.905,2,1
2024,Las Vegas Grand Prix,2024-11-23,George Russell,British,Mercedes,German,25.0,50,1:35.717,1,0
2024,São Paulo Grand Prix,2024-11-03,Max Verstappen,Dutch,Red Bull,Austrian,26.0,69,1:20.472,17,16
2024,Mexico City Grand Prix,2024-10-27,Carlos Sainz,Spanish,Ferrari,Italian,25.0,71,1:20.137,1,0
2024,United States Grand Prix,2024-10-20,Charles Leclerc,Monegasque,Ferrari,Italian,25.0,56,1:37.834,4,3
2024,Singapore Grand Prix,2024-09-22,Lando Norris,British,McLaren,British,25.0,62,1:34.925,1,0
2024,Azerbaijan Grand Prix,2024-09-15,Oscar Piastri,Australian,McLaren,British,25.0,51,1:47.060,2,1
2024,Italian Grand Prix,2024-09-01,Charles Leclerc,Monegasque,Ferrari,Italian,25.0,53,1:23.226,4,3
2024,Dutch Grand Prix,2024-08-25,Lando Norris,British,McLaren,British,26.0,72,1:13.817,1,0
2024,Belgian Grand Prix,2024-07-28,Lewis Hamilton,British,Mercedes,German,25.0,44,1:46.653,3,2
2024,Hungarian Grand Prix,2024-07-21,Oscar Piastri,Australian,McLaren,British,25.0,70,1:21.716,2,1
2024,British Grand Prix,2024-07-07,Lewis Hamilton,British,Mercedes,German,25.0,52,1:29.438,2,1
2024,Austrian Grand Prix,2024-06-30,George Russell,British,Mercedes,German,25.0,71,1:09.164,3,2
2024,Spanish Grand Prix,2024-06-23,Max Verstappen,Dutch,Red Bull,Austrian,25.0,66,1:17.776,2,1
2024,Canadian Grand Prix,2024-06-09,Max Verstappen,Dutch,Red Bull,Austrian,25.0,70,1:15.569,2,1
2024,Monaco Grand Prix,2024-05-26,Charles Leclerc,Monegasque,Ferrari,Italian,25.0,78,,1,0
2024,Emilia Romagna Grand Prix,2024-05-19,Max Verstappen,Dutch,Red Bull,Austrian,25.0,63,1:20.366,1,0
2024,Miami Grand Prix,2024-05-05,Lando Norris,British,McLaren,British,25.0,57,1:30.980,5,4
2024,Chinese Grand Prix,2024-04-21,Max Verstappen,Dutch,Red Bull,Austrian,25.0,56,1:38.406,1,0
2024,Japanese Grand Prix,2024-04-07,Max Verstappen,Dutch,Red Bull,Austrian,26.0,53,1:33.706,1,0
2024,Australian Grand Prix,2024-03-24,Carlos Sainz,Spanish,Ferrari,Italian,25.0,58,1:20.031,2,1
2024,Saudi Arabian Grand Prix,2024-03-09,Max Verstappen,Dutch,Red Bull,Austrian,25.0,50,1:31.773,1,0
2024,Bahrain Grand Prix,2024-03-02,Max Verstappen,Dutch,Red Bull,Austrian,26.0,57,1:32.608,1,0
2023,Abu Dhabi Grand Prix,2023-11-26,Max Verstappen,Dutch,Red Bull,Austrian,26.0,58,1:26.993,1,0
2023,Las Vegas Grand Prix,2023-11-19,Max Verstappen,Dutch,Red Bull,Austrian,25.0,50,1:35.614,2,1
2023,São Paulo Grand Prix,2023-11-05,Max Verstappen,Dutch,Red Bull,Austrian,25.0,71,1:13.422,1,0
2023,Mexico City Grand Prix,2023-10-29,Max Verstappen,Dutch,Red Bull,Austrian,25.0,71,1:21.644,3,2
2023,United States Grand Prix,2023-10-22,Max Verstappen,Dutch,Red Bull,Austrian,25.0,56,1:40.028,6,5
2023,Qatar Grand Prix,2023-10-08,Max Verstappen,Dutch,Red Bull,Austrian,26.0,57,1:24.319,1,0
2023,Japanese Grand Prix,2023-09-24,Max Verstappen,Dutch,Red Bull,Austrian,26.0,53,1:34.183,1,0
2023,Singapore Grand Prix,2023-09-17,Carlos Sainz,Spanish,Ferrari,Italian,25.0,62,1:37.666,1,0
2023,Italian Grand Prix,2023-09-03,Max Verstappen,Dutch,Red Bull,Austrian,25.0,51,1:25.240,2,1
2023,Dutch Grand Prix,2023-08-27,Max Verstappen,Dutch,Red Bull,Austrian,25.0,72,1:13.889,1,0
2023,Belgian Grand Prix,2023-07-30,Max Verstappen,Dutch,Red Bull,Austrian,25.0,44,1:48.922,6,5
2023,Hungarian Grand Prix,2023-07-23,Max Verstappen,Dutch,Red Bull,Austrian,26.0,70,1:20.504,2,1
2023,British Grand Prix,2023-07-09,Max Verstappen,Dutch,Red Bull,Austrian,26.0,52,1:30.275,1,0
2023,Austrian Grand Prix,2023-07-02,Max Verstappen,Dutch,Red Bull,Austrian,26.0,71,1:07.012,1,0
2023,Canadian Grand Prix,2023-06-18,Max Verstappen,Dutch,Red Bull,Austrian,25.0,70,1:15.594,1,0
2023,Spanish Grand Prix,2023-06-04,Max Verstappen,Dutch,Red Bull,Austrian,26.0,66,1:16.330,1,0
2023,Monaco Grand Prix,2023-05-28,Max Verstappen,Dutch,Red Bull,Austrian,25.0,78,1:16.604,1,0
2023,Miami Grand Prix,2023-05-07,Max Verstappen,Dutch,Red Bull,Austrian,26.0,57,1:29.708,9,8
2023,Azerbaijan Grand Prix,2023-04-30,Sergio Pérez,Mexican,Red Bull,Austrian,25.0,51,1:44.589,3,2
2023,Australian Grand Prix,2023-04-02,Max Verstappen,Dutch,Red Bull,Austrian,25.0,58,1:20.342,1,0
2023,Saudi Arabian Grand Prix,2023-03-19,Sergio Pérez,Mexican,Red Bull,Austrian,25.0,50,1:32.188,1,0
2023,Bahrain Grand Prix,2023-03-05,Max Verstappen,Dutch,Red Bull,Austrian,25.0,57,1:36.236,1,0
2022,Abu Dhabi Grand Prix,2022-11-20,Max Verstappen,Dutch,Red Bull,Austrian,25.0,58,1:29.392,1,0
2022,São Paulo Grand Prix,2022-11-13,George Russell,British,Mercedes,German,26.0,71,1:13.785,1,0
2022,Mexico City Grand Prix,2022-10-30,Max Verstappen,Dutch,Red Bull,Austrian,25.0,71,1:22.046,1,0
2022,United States Grand Prix,2022-10-23,Max Verstappen,Dutch,Red Bull,Austrian,25.0,56,1:39.541,2,1
2022,Japanese Grand Prix,2022-10-09,Max Verstappen,Dutch,Red Bull,Austrian,25.0,28,1:44.911,1,0
2022,Singapore Grand Prix,2022-10-02,Sergio Pérez,Mexican,Red Bull,Austrian,25.0,59,1:48.165,2,1
2022,Italian Grand Prix,2022-09-11,Max Verstappen,Dutch,Red Bull,Austrian,25.0,53,1:24.745,7,6
2022,Dutch Grand Prix,2022-09-04,Max Verstappen,Dutch,Red Bull,Austrian,26.0,72,1:13.652,1,0
2022,Belgian Grand Prix,2022-08-28,Max Verstappen,Dutch,Red Bull,Austrian,26.0,44,1:49.354,14,13
2022,Hungarian Grand Prix,2022-07-31,Max Verstappen,Dutch,Red Bull,Austrian,25.0,70,1:22.126,10,9
